ds,unique_id,y,no,loto
1994-10-07,N4,9,4,numbers4
1994-10-14,N4,1,8,numbers4
1994-10-21,N4,7,12,numbers4
1994-10-28,N4,1,16,numbers4
1994-11-04,N4,5,20,numbers4
1994-11-11,N4,2,24,numbers4
1994-11-18,N4,0,28,numbers4
1994-11-25,N4,7,32,numbers4
1994-12-02,N4,4,36,numbers4
1994-12-09,N4,6,40,numbers4
1994-12-16,N4,4,44,numbers4
1994-12-23,N4,2,48,numbers4
1994-12-30,N4,3,52,numbers4
1995-01-06,N4,9,56,numbers4
1995-01-10,N4,9,60,numbers4
1995-01-13,N4,4,64,numbers4
1995-01-17,N4,7,68,numbers4
1995-01-20,N4,2,72,numbers4
1995-01-24,N4,3,76,numbers4
1995-01-27,N4,4,80,numbers4
1995-01-31,N4,5,84,numbers4
1995-02-03,N4,9,88,numbers4
1995-02-07,N4,3,92,numbers4
1995-02-10,N4,1,96,numbers4
1995-02-14,N4,6,100,numbers4
1995-02-17,N4,0,104,numbers4
1995-02-21,N4,8,108,numbers4
1995-02-24,N4,6,112,numbers4
1995-02-28,N4,1,116,numbers4
1995-03-03,N4,6,120,numbers4
1995-03-07,N4,0,124,numbers4
1995-03-10,N4,5,128,numbers4
1995-03-14,N4,9,132,numbers4
1995-03-17,N4,1,136,numbers4
1995-03-21,N4,3,140,numbers4
1995-03-24,N4,6,144,numbers4
1995-03-28,N4,1,148,numbers4
1995-03-31,N4,4,152,numbers4
1995-04-04,N4,0,156,numbers4
1995-04-07,N4,4,160,numbers4
1995-04-11,N4,8,164,numbers4
1995-04-14,N4,5,168,numbers4
1995-04-18,N4,1,172,numbers4
1995-04-21,N4,2,176,numbers4
1995-04-25,N4,3,180,numbers4
1995-04-28,N4,6,184,numbers4
1995-05-02,N4,5,188,numbers4
1995-05-05,N4,4,192,numbers4
1995-05-09,N4,0,196,numbers4
1995-05-12,N4,1,200,numbers4
1995-05-16,N4,8,204,numbers4
1995-05-19,N4,3,208,numbers4
1995-05-23,N4,0,212,numbers4
1995-05-26,N4,5,216,numbers4
1995-05-30,N4,0,220,numbers4
1995-06-02,N4,1,224,numbers4
1995-06-06,N4,8,228,numbers4
1995-06-09,N4,2,232,numbers4
1995-06-13,N4,5,236,numbers4
1995-06-16,N4,3,240,numbers4
1995-06-20,N4,2,244,numbers4
1995-06-23,N4,8,248,numbers4
1995-06-27,N4,3,252,numbers4
1995-06-30,N4,4,256,numbers4
1995-07-04,N4,9,260,numbers4
1995-07-07,N4,8,264,numbers4
1995-07-11,N4,1,268,numbers4
1995-07-14,N4,4,272,numbers4
1995-07-18,N4,2,276,numbers4
1995-07-21,N4,4,280,numbers4
1995-07-25,N4,8,284,numbers4
1995-07-28,N4,4,288,numbers4
1995-08-01,N4,1,292,numbers4
1995-08-04,N4,1,296,numbers4
1995-08-08,N4,2,300,numbers4
1995-08-11,N4,1,304,numbers4
1995-08-15,N4,6,308,numbers4
1995-08-18,N4,6,312,numbers4
1995-08-22,N4,2,316,numbers4
1995-08-25,N4,7,320,numbers4
1995-08-29,N4,3,324,numbers4
1995-09-01,N4,0,328,numbers4
1995-09-05,N4,7,332,numbers4
1995-09-08,N4,0,336,numbers4
1995-09-12,N4,4,340,numbers4
1995-09-15,N4,4,344,numbers4
1995-09-19,N4,6,348,numbers4
1995-09-22,N4,2,352,numbers4
1995-09-26,N4,4,356,numbers4
1995-09-29,N4,6,360,numbers4
1995-10-03,N4,0,364,numbers4
1995-10-06,N4,1,368,numbers4
1995-10-10,N4,6,372,numbers4
1995-10-13,N4,6,376,numbers4
1995-10-17,N4,2,380,numbers4
1995-10-20,N4,2,384,numbers4
1995-10-24,N4,6,388,numbers4
1995-10-27,N4,3,392,numbers4
1995-10-31,N4,2,396,numbers4
1995-11-03,N4,4,400,numbers4
1995-11-07,N4,1,404,numbers4
1995-11-10,N4,6,408,numbers4
1995-11-14,N4,0,412,numbers4
1995-11-17,N4,8,416,numbers4
1995-11-21,N4,4,420,numbers4
1995-11-24,N4,3,424,numbers4
1995-11-28,N4,9,428,numbers4
1995-12-01,N4,2,432,numbers4
1995-12-05,N4,3,436,numbers4
1995-12-08,N4,7,440,numbers4
1995-12-12,N4,1,444,numbers4
1995-12-15,N4,1,448,numbers4
1995-12-19,N4,3,452,numbers4
1995-12-22,N4,3,456,numbers4
1995-12-26,N4,1,460,numbers4
1995-12-29,N4,0,464,numbers4
